sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
54,2,0,3.7,1,Eesti Päevaleht,https://epl.delfi.ee/uudised/kajar-lemberi-kohtuprotsess-kolitakse-spaahotelli?id=89841629
183,0,1,0.55,0,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/olukord-eesti-naabruses-venemaal-tuli-juurde-rekordarv-leedus-pea-900-nakatunut?id=91540217
167,4,6,5.99,6,Delfi,https://www.delfi.ee/news/paevauudised/eesti/narva-ooklubi-korraldab-hoolimata-terviseameti-soovitusest-peo-noortele?id=91739595
278,6,7,4.68,12,Delfi,https://www.delfi.ee/news/paevauudised/eesti/video-ja-blogi-tuleva-aasta-alguses-saavad-eestimaalased-end-loodetavasti-koroona-vastu-vaktsineerida?id=91847152
622,10,16,4.18,14,Uued Uudised,https://uueduudised.ee/uudis/eesti/reformar-meinhard-pulk-oskab-rehepapp-olla-ka-hegelit-tsiteerides/
148,8,2,6.76,5,Uued Uudised,https://uueduudised.ee/arvamus/jaak-madison-ajakiri-diplomaatia-sirbi-vahel-tanan-ei/
566,6,21,4.77,7,Telegram,https://www.telegram.ee/maailm/woodstocki-muusikafestival-toimus-keset-pandeemiat
104,2,0,1.92,2,Uued Uudised,https://uueduudised.ee/uudis/eesti/vasakul-on-parem-isamaalised-kutsuvad-parempoolseid-ules-erakonnast-valja-astuma/
94,0,0,0.0,3,Eesti Päevaleht,https://epl.delfi.ee/uudised/kevadest-on-opitud-ent-vaktsiinita-jaavadki-koroonapuhangud-tulema?id=90385059
353,7,14,5.95,10,Delfi,https://www.delfi.ee/news/paevauudised/eesti/valiskomisjonide-juhid-hiinale-uus-julgeolekuseadus-oonestab-kohalikku-soltumatust-ning-on-vastuolus-hongkongi-pohiseadusega?id=90542285
323,8,8,4.95,20,Delfi,https://www.delfi.ee/news/paevauudised/eesti/minister-kiik-maailma-terviseassambleel-peame-olema-tulevikukriisideks-paremini-valmis?id=89897627
255,3,3,2.35,6,Telegram,https://www.telegram.ee/teadus-ja-tulevik/antarktise-jaa-all-peitub-tegutsemisvalmis-vulkaan
733,20,13,4.5,14,Uued Uudised,https://uueduudised.ee/arvamus/millist-eestit-me-tahtsime-millise-saime-ja-milline-on-tulemas/
3125,61,78,4.45,53,Telegram,https://www.telegram.ee/maailm/karm-tegelikkus-fukushima-katastroof-mojutab-maad-tuhandeid-aastaid
105,0,0,0.0,1,Delfi,https://www.delfi.ee/news/paevauudised/eesti/president-kaljulaid-on-tanasest-eesti-ringkaigul?id=90580549
635,8,3,1.73,8,Telegram,https://www.telegram.ee/maavaline/kuidas-paike-meid-mojutab-paikeseplekid-protuberants-ja-paikeseloited
52,1,0,1.92,0,Telegram,https://www.telegram.ee/teadus-ja-tulevik/video-dr-kaufmani-london-reali-intervjuu-koroonapandeemiast-eestikeelsete-subtiitritega
241,2,3,2.07,5,Delfi,https://www.delfi.ee/news/paevauudised/eesti/mis-saab-kui-rahandusminister-makseid-ei-taasta-tanel-kiik-korraldab-helmele-antud-tahtajal-pressikonverentsi?id=90479097
215,12,2,6.51,3,Telegram,https://www.telegram.ee/eesti/sandor-liive-tegi-oma-elektripaketi-neli-korda-umber
404,5,7,2.97,24,Telegram,https://www.telegram.ee/eesti/tallinnas-ja-tartus-toimuvad-meeleavaldused-eli-usa-vabakaubandusleppe-ttip-vastu
257,0,6,2.33,13,Telegram,https://www.telegram.ee/arvamus/repliik-miks-on-vaja-naiste-marssi
199,0,5,2.51,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/stockholmi-tervishoiuvoimud-sulgesid-ulerahvastatuse-tottu-viis-baari-ja-restorani?id=89687089
219,2,0,0.91,3,Delfi,https://www.delfi.ee/news/paevauudised/eesti/ekre-esitab-ringhaalingunoukogu-liikme-kandidaadiks-anti-poolametsa?id=91480432
182,0,0,0.0,1,Telegram,https://www.telegram.ee/eesti/delfi-venemeelsed-aktivistid-eestis-hakkavad-meeleavaldusi-korraldama
380,10,6,4.21,6,Uued Uudised,https://uueduudised.ee/arvamus/opositsiooni-podin-pole-mitte-ainult-segase-mottega-vaid-seda-pole-isegi-kuulda/
134,0,0,0.0,6,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/belgias-kehtestatakse-ranged-liikumispiirangud?id=91530705
492,2,9,2.24,5,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/video-minskis-tuli-lukasenka-vastu-meelt-avaldama-mitukummend-tuhat-inimest?id=91169839
50,0,0,0.0,0,Telegram,https://www.telegram.ee/teadus-ja-tulevik/telegrami-jarjejutt-ennustused-mis-laksid-taide-ii
1794,90,31,6.74,35,Uued Uudised,https://uueduudised.ee/arvamus/piret-kivi-presidendi-ehmatavad-teemad-importkauba-laekast-sobivad-koorismaagimiseks/
302,13,12,8.28,7,Uued Uudised,https://uueduudised.ee/uudis/eesti/imre-sooaar-on-riigikokku-tuleku-otsuses-langenud-huvigruppide-tugeva-surve-alla/
653,12,18,4.59,19,Uued Uudised,https://uueduudised.ee/arvamus/urmas-reitelmann-tana-oleks-oudne-elada-eestis-kus-peaminister-on-kaja-kallas-ja-rahandusminister-jurgen-ligi/
958,17,39,5.85,41,Uued Uudised,https://uueduudised.ee/arvamus/kohustuslik-sallivus-viib-ukskoiksete-pilkudeni-hadasolijate-suhtes/
973,13,5,1.85,32,Telegram,https://www.telegram.ee/eesti/okokogukonnad-uue-ajastu-naidismudelid
476,4,13,3.57,16,Telegram,https://www.telegram.ee/maailm/usa-teadlased-mesilaste-hukkumise-pohjuseks-on-kemikaalide-koosmoju
309,3,1,1.29,5,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/venemaal-ahvardab-eestlaste-kahe-sugulasrahva-foderatsioonisubjekte-kadu?id=89926236
